trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
24,False,"{'a': 0.5, 'e': 0.3011942119122022}",20,0,-25.91453574242175,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.2865047968601902}",30,14,6.018186454868602,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.2725317930340127}",30,10,22.977717991040844,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.2592402606458916}",30,7,-96.6644700805118,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 2}",1
28,False,"{'a': 0.5, 'e': 0.24659696394160657}",20,15,10.093922257115874,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.23457028809379774}",30,9,-7.367249501379798,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.2231301601484299}",20,0,21.9996296942875,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.21224797382674312}",25,15,-3.552393913571753,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.20189651799465547}",20,1,13.40705894007014,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.19204990862075416}",20,1,23.62505024871711,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.1826835240527347}",30,12,6.279068795149696,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.17377394345044517}",20,13,2.16045742962158,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.1652988882215866}",25,16,19.816251453184226,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.15723716631362766}",25,5,20.224097217188763,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
